SKUid,Contractor,Time taken (s),
10625837,Rob,142.4370376,
07619475,Pete,79.56045032,
42659619,Joy,93.46537145,
39037580,Rob,459.4011543,
40261118,Joy,178.1112107,
83841770,Rob,368.6383968,
65232794,Rob,289.9713553,
50998243,Rob,96.56987475,
17170809,Rob,50.77278641,
03845718,Joy,81.39351075,
09626978,Pete,26.87865849,
22755161,Rob,68.77965948,
07681350,Joy,82.87115371,
10019440,Joy,2.478389214,
01069535,Joy,139.1412062,
01376707,Pete,4.789121496,
24921623,Rob,41.54789551,
05781267,Joy,106.1115818,
07076124,Pete,49.61609365,
36426904,Rob,121.4670703,
34067921,Rob,244.5228849,
32614880,Joy,236.625404,
67935259,Rob,130.1502185,
37770302,Rob,232.3480042,
17805271,Joy,182.8791427,
45000015,Joy,14.64847854,
06018220,Rob,429.1471231,
05587867,Pete,9.867336309,
28144791,Rob,161.6617836,
11418819,Joy,57.64719502,
13244863,Joy,53.90881004,
10886209,Joy,26.09099021,
04247787,Joy,70.08795697,
06719195,Pete,63.4465908,
41874427,Joy,160.0673724,
60458008,Rob,133.6376502,
20433499,Rob,88.98827663,
07868062,Joy,18.50004795,
03222722,Joy,52.19773608,
04909267,Pete,43.66577278,
28289803,Joy,22.78618146,
08106921,Rob,276.2749454,
08901088,Pete,10.21015753,
13918036,Rob,31.91161162,
01464192,Pete,21.04331706,
01929945,Pete,27.8910124,
16033945,Joy,43.198586,
24971742,Rob,257.8141803,
27784072,Joy,84.67383888,
34967710,Rob,310.5137874,
37852469,Joy,17.39262389,
06177870,Rob,20.66285021,
00379770,Pete,18.27498886,
02444941,Pete,25.01872336,
48157191,Joy,99.44134571,
40702733,Rob,162.2403962,
13400618,Joy,1.520920745,
00242494,Joy,110.6394063,
00502286,Pete,2.773318941,
50613649,Rob,121.3198476,
26794156,Rob,14.83986108,
01422833,Joy,102.9298174,
2280298,Pete,15.74072076,
45548258,Rob,183.0617636,
50546524,Rob,61.56496369,
09897362,Rob,7.251336761,
00353281,Pete,12.89260508,
00377832,Pete,8.40265621,
12265828,Pete,53.42015081,
47520656,Rob,50.31353436,
08765022,Rob,166.9433953,
07070198,Pete,18.2477457,
13902259,Rob,238.3936732,
24611172,Joy,109.6989512,
75243985,Rob,276.2117254,
06988538,Joy,113.7022535,
12386832,Pete,75.34218679,
49032147,Rob,128.2036167,
31191641,Rob,209.4046101,
21901083,Joy,33.79904075,
09076373,Rob,115.923892,
07156022,Pete,70.86523125,
36203768,Joy,62.14780349,
24617687,Rob,390.4082906,
26807173,Joy,9.177255889,
05821630,Rob,14.81824585,
00202917,Pete,8.292773798,
00844329,Pete,6.208552423,
10149194,Joy,23.0157202,
06769598,Joy,129.1859474,
11718398,Pete,0.145314639,
00110923,Rob,62.47362317,
00030988,Pete,0.412800213,
09299827,Pete,81.62081572,
43491367,Joy,210.0238545,
73731771,Rob,421.2091051,
81362316,Rob,326.7691137,
74669642,Rob,211.0618124,
33906842,Rob,263.1734224,
29755524,Joy,89.85085951,
27895677,Rob,337.1692537,
40725139,Joy,33.80947523,
16345924,Rob,41.93584328,
01392583,Pete,41.70434128,
04279737,Pete,1.869342414,
02239282,Rob,25.60560654,
00447369,Pete,6.487669022,
02967391,Pete,48.29584956,
28015070,Joy,58.40746705,
38024483,Rob,92.79486169,
07738567,Joy,84.0759036,
08207145,Pete,48.18351771,
20939652,Joy,42.28827862,
09930848,Joy,30.20546978,
02440035,Joy,86.66530655,
10543970,Pete,41.69398637,
59235569,Rob,123.1058184,
19471862,Rob,284.1249588,
23619211,Joy,33.06650847,
19299685,Rob,356.788763,
19979936,Joy,19.66076397,
14538557,Rob,8.910428449,
00350723,Pete,51.74396629,
01268518,Pete,2.63756244,
15565303,Rob,298.620119,
24836182,Joy,114.3751941,
87771455,Rob,342.88152,
63161302,Rob,409.4371318,
63979080,Rob,213.0298081,
55237818,Rob,277.825717,
37002819,Rob,197.685926,
39771472,Rob,113.8496114,
24329460,Rob,210.1580452,
24063893,Joy,95.11966264,
32865771,Rob,297.3412786,
47013177,Rob,77.23367987,
27949760,Rob,8.135358964,
00534593,Joy,119.9818959,
01396929,Pete,4.575371605,
41075063,Rob,146.2100293,
19155310,Rob,55.85219771,
07952417,Joy,92.46067848,
10783708,Joy,25.02709643,
11639340,Rob,192.7163499,
17890433,Joy,24.47084349,
16206869,Rob,336.2252106,
18395785,Joy,97.56258809,
80960735,Rob,340.4128494,
72215581,Rob,128.563307,
21622630,Rob,113.1297429,
08056064,Joy,47.32678757,
09904562,Joy,4.869586145,
01144290,Joy,65.66530011,
01291375,Pete,15.8738612,
36436977,Joy,120.3849602,
59191877,Rob,90.34308741,
11939463,Rob,69.57736866,
04247768,Pete,49.7459744,
11595810,Joy,97.19180208,
45528858,Rob,58.10012863,
19478952,Rob,127.3310023,
06499567,Joy,88.21730184,
23066533,Joy,60.92194663,
33075243,Rob,275.0958821,
29062671,Joy,174.979461,
58214088,Rob,215.7160519,
51951010,Rob,23.12186076,
03427181,Rob,158.571163,
02823013,Pete,17.35846953,
32126136,Rob,192.2111329,
47275592,Rob,178.1985116,
42646569,Rob,231.2375954,
34864667,Rob,112.2104302,
24337028,Rob,180.7740939,
23272545,Joy,173.2676449,
51480896,Rob,5.332603523,
01588081,Rob,335.4831405,
01390029,Pete,8.87772008,
75016925,Rob,341.1132634,
87143732,Rob,189.2026055,
34413310,Rob,107.2946966,
09318139,Joy,95.7082747,
11936068,Joy,32.17140579,
13217530,Joy,28.70914178,
03095201,Joy,79.9382468,
06945195,Pete,2.869729092,
02964603,Rob,91.49482962,
01512212,Pete,13.77339865,
17003217,Joy,27.372201,
09972358,Rob,161.0080076,
10367787,Pete,86.82480456,
56072948,Rob,158.453551,
53078629,Rob,143.1135138,
16176673,Rob,108.8561251,
11740154,Joy,117.0138271,
31496393,Joy,30.9638723,
12344645,Rob,232.636786,
09148140,Pete,33.94002582,
25584204,Rob,65.6545934,
09743263,Joy,51.5695361,
05293542,Joy,22.80529534,
04828191,Joy,102.8978722,
17731916,Joy,42.33718348,
36091412,Rob,229.7078173,
21938254,Joy,162.1499663,
41280860,Rob,36.75163621,
10865543,Rob,35.75641568,
01273332,Pete,14.22275486,
01872174,Pete,1.157120727,
00516988,Joy,84.27330279,
02083446,Pete,5.180709526,
33779931,Rob,179.4266785,
17846530,Joy,50.28345511,
10683495,Joy,25.16192193,
02835796,Joy,89.64702607,
08445518,Pete,8.594874207,
10868266,Rob,160.4647659,
06532100,Pete,48.44627934,
28611446,Joy,77.75641469,
23067672,Rob,188.0370945,
20440895,Joy,74.40367187,
24260185,Rob,34.45558335,
05016652,Joy,207.9388878,
11813027,Pete,17.05231876,
28272558,Rob,385.9291925,
22283831,Joy,92.25495894,
50372352,Rob,243.2322847,
40279221,Rob,266.2857756,
51432418,Rob,263.6754118,
69726285,Rob,18.66318663,
03827176,Rob,142.928519,
01530270,Pete,22.07891699,
32982090,Joy,126.8497193,
73208096,Rob,82.94420169,
12760196,Rob,104.1339908,
04719319,Pete,77.96919466,
25451782,Joy,128.7362506,
85075492,Rob,194.4458797,
39340637,Rob,138.8460664,
12693688,Joy,84.03544675,
11863550,Joy,131.988329,
34951851,Joy,180.2552134,
80217416,Rob,62.95372092,
12986706,Rob,258.4313799,
08112560,Pete,41.12964389,
32738678,Rob,70.82112292,
14362160,Rob,221.5531471,
19170770,Joy,112.7263534,
69557441,Rob,69.22825316,
16282806,Rob,20.20152772,
00804236,Pete,29.77641393,
01477703,Pete,16.16462404,
23939441,Joy,53.60982923,
23457551,Rob,355.1792079,
31815440,Joy,57.93460823,
35088348,Rob,471.0753712,
34312355,Joy,172.7589974,
92774396,Rob,182.693856,
36793752,Rob,150.5106521,
11855586,Joy,61.89168036,
10127107,Joy,62.912802,
13137364,Joy,160.9766872,
40001528,Joy,113.0403352,
55404897,Rob,458.0781528,
51779329,Rob,79.71063901,
26361353,Rob,176.127992,
10845466,Joy,114.9829651,
30729406,Joy,99.59322921,
42235249,Rob,293.9419553,
38106337,Rob,44.49522211,
12386821,Rob,207.9624431,
09713171,Pete,52.67903863,
35377151,Rob,158.9809275,
34489094,Rob,182.2506146,
32760548,Rob,71.19804244,
15049263,Rob,230.2621839,
20017023,Joy,73.97822959,
45276337,Rob,90.43372472,
13368874,Rob,231.2918334,
18479040,Joy,77.88352986,
53897804,Rob,68.22713152,
11502263,Rob,166.2620314,
08418585,Pete,65.85193445,
38074858,Joy,151.5721457,
47425161,Rob,227.1854112,
36176082,Rob,282.2735228,
54088103,Rob,125.3708916,
39129591,Rob,218.5564847,
20263695,Joy,193.0213897,
43124473,Joy,103.7219996,
39520066,Rob,450.0053939,
43293708,Joy,201.6513981,
91846219,Rob,342.9687811,
63898554,Rob,375.626479,
56106024,Rob,220.4196893,
51829323,Rob,33.0411036,
05192247,Rob,29.43492202,
00750588,Pete,2.200285156,
00498937,Pete,19.88898696,
02332113,Pete,4.204590868,
06704246,Joy,20.43465073,
01473673,Pete,5.905629867,
00720018,Pete,43.83906474,
07027264,Pete,20.15197659,
49078972,Rob,447.481525,
51329433,Rob,151.5540986,
55272273,Rob,149.1912895,
17619950,Rob,27.84803153,
03006703,Joy,105.7073346,
06682745,Pete,31.54957968,
44367816,Rob,290.8441635,
54923598,Rob,248.6613,
65201935,Rob,405.3780652,
73412405,Rob,173.7896985,
43219902,Rob,273.8518703,
25931657,Joy,114.1998171,
28943918,Rob,154.2039493,
27163805,Rob,19.67061628,
04191950,Rob,252.5907424,
07316523,Pete,3.292069013,
07934694,Rob,314.7239999,
05664401,Pete,14.7890547,
23463891,Rob,209.5501496,
21884386,Joy,171.2414815,
61172594,Rob,1.460958224,
00457269,Rob,37.77854196,
00036089,Pete,2.06080416,
06810351,Pete,13.89703738,
31741895,Rob,85.91069751,
07012291,Joy,178.2369965,
19296219,Pete,22.24012259,
22611796,Rob,141.1808733,
06508798,Joy,99.03510272,
24733748,Joy,53.91243041,
32812344,Rob,341.0014942,
29731391,Joy,13.24636698,
05506501,Rob,123.7599134,
02205573,Pete,12.33813474,
11092097,Joy,79.81160948,
17858872,Joy,89.62809275,
25796246,Rob,233.4671013,
46867932,Rob,39.45645411,
14283913,Rob,369.4813319,
12442130,Pete,27.73477755,
28696568,Rob,62.31870385,
05556589,Joy,78.47652809,
06816920,Pete,24.04721133,
13584890,Joy,4.233026967,
00597293,Joy,78.2669242,
00975513,Pete,7.81532746,
40963581,Rob,43.23110652,
13853846,Rob,397.5167848,
16780847,Pete,68.89283514,
79071347,Rob,397.1069398,
65212016,Rob,126.8567004,
25483656,Rob,165.183984,
12853272,Joy,85.54566397,
22180135,Joy,41.53260567,
11056901,Rob,151.7808555,
11368468,Joy,54.90429514,
30147398,Rob,255.6483821,
49386401,Rob,46.52436369,
15780967,Rob,275.6608366,
10387430,Pete,12.99815421,
09082033,Rob,247.7419462,
12400326,Pete,40.13476062,
43792234,Rob,400.3606407,
51832116,Rob,158.5962885,
57997234,Rob,475.7417704,
58227126,Rob,70.21356398,
23038012,Rob,402.9857981,
19437723,Joy,51.69558518,
36170805,Rob,40.06025871,
